國道,里程,路名,方向標籤,緯度,經度,現行方位(羅盤),實際走向(新),差距,來源,離OSM道路(m),鄰桿弦方位,鄰桿一致度,處置
1,260.5,國道一號南向260.5公里,南向,23.527652,120.405818,180,199,19,osm,1,196,1,改寫
1,261.7,國道一號北向261.7公里,北向,23.516769,120.404041,0,6,6,osm,1,16,1,改寫
1,276.2,國道一號南向276.2公里,南向,23.397736,120.355248,180,177,3,osm,2,189,1,改寫
1,277.3,國道一號北向277.3公里,北向,23.387621,120.355291,0,6,6,osm,4,24,1,改寫
1,279,國道一號南向279公里,南向,25.042383,121.53301,180,194,14,osm,331,206,0.78,維持舊值
1,279,國道一號南向279公里,南向,23.373209,120.350715,180,206,26,osm,0,204,1,改寫
1,285.3,國道一號南向285.3公里,南向,23.334304,120.306842,180,217,37,osm,1,214,1,改寫
1,292.5,國道一號北向292.5公里,北向,23.278519,120.271282,0,43,43,osm,6,26,1,改寫
1,293.1,國道一號南向293.1公里,南向,23.27464,120.267327,180,215,35,osm,3,206,1,改寫
1,301.5,國道一號北向301.5公里,北向,23.204871,120.236717,0,3,3,osm,2,2,1,改寫
1,301.6,國道一號南向301.6公里,南向,23.204189,120.23653,180,183,3,osm,1,182,1,改寫
1,306.1,國道一號南向306.1公里,南向,23.16412,120.231495,180,192,12,osm,1,182,1,改寫
1,309.1,國道一號北向309.1公里,北向,23.137454,120.234682,0,339,21,osm,2,356,1,改寫
1,315.5,國道一號南向315.5公里,南向,23.082615,120.251739,180,173,7,osm,0,176,1,改寫
1,321.8,國道一號南向321.8公里,南向,23.026246,120.249296,180,177,3,osm,1,181,1,改寫
1,323.4,國道一號北向323.4公里,北向,23.011912,120.249371,0,16,16,osm,4,1,1,改寫
1,334,國道一號北向334公里,北向,22.918658,120.260136,0,337,23,osm,1,336,1,改寫
1,336.7,國道一號北向336.7公里,北向,22.896294,120.270433,0,335,25,osm,5,336,1,改寫
1,340.2,國道一號南向340.2公里,南向,22.867977,120.28468,180,160,20,osm,2,156,1,改寫
1,353.3,國道一號北向353.3公里,北向,22.759114,120.332099,0,337,23,osm,10,350,1,改寫
1,353.4,國道一號南向353.4公里,南向,22.7585,120.33219,180,158,22,osm,7,170,1,改寫
1,362.5,國道一號南向362.5公里,南向,22.677533,120.328733,180,176,4,osm,3,181,1,改寫
1,373.4,國道一號北向373.4公里,北向,22.586142,120.329146,0,52,52,osm,0,1,1,改寫
1,373.5,國道一號南向373.5公里,南向,22.585746,120.328357,180,232,52,osm,1,181,1,改寫
2,2,國道二號西向2公里,西向,25.049833,121.217197,270,338,68,osm,1,310,1,改寫
2,2.4,國道二號東向2.4公里,東向,25.046332,121.218629,90,157,67,osm,5,130,1,改寫
2,6.4,國道二號西向6.4公里,西向,25.028276,121.251802,270,290,20,osm,4,310,1,改寫
2,11.8,國道二號東向11.8公里,東向,24.99567,121.282975,90,192,102,osm,4,136,1,改寫
2,18.5,國道二號東向18.5公里,東向,24.959269,121.324863,90,172,82,osm,2,136,1,改寫
3,4.7,國道三號南向4.7公里,南向,25.110235,121.68526,180,211,31,osm,3,219,1,改寫
3,10.2,國道三號北向10.2公里,北向,25.078311,121.647484,0,17,17,osm,5,39,1,改寫
3,14.5,國道三號北向14.5公里,北向,25.046878,121.625791,0,23,23,osm,3,31,1,改寫
3,17.1,國道三號北向17.1公里,北向,25.029551,121.610569,0,57,57,osm,4,35,1,改寫
3,21.8,國道三號南向21.8公里,南向,24.992198,121.592632,180,191,11,osm,1,221,1,改寫
3,24.6,國道三號南向24.6公里,南向,24.976428,121.574297,180,265,85,osm,2,230,0.93,改寫
3,25,國道三號北向25公里,北向,24.976095,121.57083,0,97,97,osm,0,50,0.93,改寫
3,29.1,國道三號北向29.1公里,北向,24.958472,121.539182,0,81,81,osm,1,59,0.89,改寫
3,30.1,國道三號北向30.1公里,北向,24.962166,121.530685,0,74,74,chord,,74,1,維持舊值
3,38.3,國道三號北向38.3公里,北向,24.977514,121.465516,0,51,51,osm,1,87,1,改寫
3,39.3,國道三號南向39.3公里,南向,24.975257,121.456281,180,272,92,osm,2,267,1,改寫
3,57,國道三號北向57公里,北向,24.924304,121.304277,0,63,63,osm,6,53,1,改寫
3,64.2,國道三號南向64.2公里,南向,24.881098,121.255459,180,238,58,osm,4,233,1,改寫
3,69.5,國道三號北向69.5公里,北向,24.857557,121.210519,0,62,62,osm,1,51,1,改寫
3,81.5,國道三號南向81.5公里,南向,24.807201,121.149866,180,266,86,osm,5,233,1,改寫
3,84.6,國道三號北向84.6公里,北向,24.791381,121.126079,0,26,26,osm,5,57,1,改寫
3,90.2,國道三號南向90.2公里,南向,24.76711,121.081475,180,219,39,osm,3,237,1,改寫
3,107.4,國道三號南向107.4公里,南向,24.746012,120.925391,180,217,37,osm,1,233,1,改寫
3,112.2,國道三號南向112.2公里,南向,24.714918,120.893754,180,223,43,osm,4,233,1,改寫
3,116.5,國道三號北向116.5公里,北向,24.695911,120.85748,0,46,46,osm,1,43,1,改寫
3,116.5,國道三號北向116.5公里,北向,24.69619,120.857787,0,46,46,osm,0,43,1,改寫
3,117.1,國道三號南向117.1公里,南向,24.691969,120.853314,180,217,37,osm,6,223,1,改寫
3,122.5,國道三號北向122.5公里,北向,24.6487779,120.8311787,0,45,45,osm,37,26,1,改寫
3,131.2,國道三號北向131.2公里,北向,24.591296,120.779072,0,56,56,osm,1,33,1,改寫
3,142.9,國道三號南向142.9公里,南向,24.507293,120.713148,180,228,48,osm,1,213,1,改寫
3,150.2,國道三號南向150.2公里,南向,24.453047,120.67839,180,177,3,osm,1,197,1,改寫
3,162.1,國道三號北向162.1公里,北向,24.350206,120.658836,0,26,26,osm,10,32,1,改寫
3,162.1,國道三號南向162.1公里,南向,24.350278,120.658717,180,205,25,osm,10,212,1,改寫
3,166,國道三號南向166公里,南向,24.330594,120.628545,180,227,47,osm,3,225,1,改寫
3,171,國道三號北向171公里,北向,24.293697,120.602092,0,9,9,osm,4,17,1,改寫
3,177.8,國道三號北向177.8公里,北向,24.236176,120.593715,0,7,7,osm,3,21,1,改寫
3,178.6,國道三號南向178.6公里,南向,24.229563,120.590926,180,212,32,osm,2,207,1,改寫
3,184.1,國道三號南向184.1公里,南向,24.190897,120.561881,180,257,77,osm,6,217,1,改寫
3,186.1,國道三號北向186.1公里,北向,24.178511,120.548761,0,27,27,osm,3,38,1,改寫
3,206.6,國道三號北向206.6公里,北向,24.071048,120.638644,0,308,52,osm,3,351,0.95,改寫
3,218,國道三號北向218公里,北向,23.999996,120.650424,0,8,8,osm,1,351,1,改寫
3,218.9,國道三號南向218.9公里,南向,23.59276,120.39066,180,196,16,chord,,196,1,維持舊值
3,235.2,國道三號北向235.2公里,北向,23.869972,120.705085,0,18,18,osm,1,11,0.95,改寫
3,247.1,國道三號北向247.1公里,北向,23.777444,120.687927,0,98,98,osm,4,44,1,改寫
3,253.2,國道三號南向253.2公里,南向,23.774884,120.628718,180,218,38,chord,,218,1,維持舊值
3,262.01,國道三號南向262.01公里,南向,23.43075,120.36124,180,203,23,osm,241,218,0.89,維持舊值
3,262.1,國道三號南向262.1公里,南向,23.718771,120.603455,180,175,5,osm,2,197,1,改寫
3,265.1,國道三號北向265.1公里,北向,23.692923,120.598801,0,40,40,osm,1,17,1,改寫
3,282.7,國道三號南向282.7公里,南向,23.570353,120.505462,180,189,9,osm,2,204,1,改寫
3,284.07,國道三號北向284.07公里,北向,23.33292,120.30184,0,33,33,osm,348,26,0.86,維持舊值
3,313.7,國道三號南向313.7公里,南向,23.333214,120.433591,180,208,28,osm,1,205,1,改寫
3,313.7,國道三號南向313.7公里,南向,23.330832,120.43159,180,203,23,osm,74,205,1,維持舊值
3,318.7,國道三號北向318.7公里,北向,23.298801,120.407292,0,58,58,osm,6,31,1,改寫
3,331,國道三號北向331公里,北向,23.201337,120.355492,0,1,1,osm,3,14,1,改寫
3,342.1,國道三號南向342.1公里,南向,23.107119,120.3275,180,178,2,osm,8,187,1,改寫
3,342.1,國道三號南向342.1公里,南向,23.110423,120.327289,180,182,2,osm,21,187,1,改寫
3,344.7,國道三號北向344.7公里,北向,23.083381,120.329218,0,358,2,osm,2,3,1,改寫
3,358.6,國道三號南向358.6公里,南向,22.970579,120.338467,180,115,65,osm,3,171,1,改寫
3,372.3,國道三號南向372.3公里,南向,22.862397,120.369234,180,134,46,osm,5,133,1,改寫
3,374.3,國道三號北向374.3公里,北向,22.84931,120.382939,0,331,29,osm,1,313,1,改寫
3,378.85,國道三號南向378.85公里,南向,22.8208444,120.4196601,180,149,31,osm,11,141,1,改寫
3,386,國道三號南向386公里,南向,22.769219,120.441592,180,115,65,osm,1,138,1,改寫
3,389.3,國道三號北向389.3公里,北向,22.758016,120.471478,0,280,80,osm,2,318,1,改寫
3,423.1,國道三號南向423.1公里,南向,22.508149,120.524813,180,179,1,osm,2,150,1,改寫
3,423.2,國道三號北向423.2公里,北向,22.507159,120.524929,0,358,2,osm,2,330,1,改寫
3A,1.7,國道三號甲線西向1.7公里,西向,25.010769,121.563365,270,315,45,osm,3,292,1,維持舊值
3A,3.4,國道三號甲線西向3.4公里,西向,25.005106,121.578561,270,303,33,osm,3,292,1,維持舊值
4,4.4,國道四號西向4.4公里,西向,24.302769,120.63327,270,299,29,osm,9,311,0.8,改寫
4,4.4,國道四號西向4.4公里,西向,24.305093,120.62779,270,292,22,osm,4,311,0.8,改寫
4,23.3,國道四號西向23.3公里,西向,24.230285,120.732593,270,5,95,osm,3,311,0.8,改寫
4,24.778,國道四號東向24.778公里,東向,24.220844,120.725269,90,102,12,osm,28,131,0.8,改寫
5,5.7,國道五號北向5.7公里,北向,24.994559,121.652551,0,341,19,osm,2,317,1,改寫
5,13.3,國道五號南向13.3公里,南向,24.949272,121.701534,180,106,74,osm,0,135,1,改寫
5,16.9,國道五號北向16.9公里,北向,24.926279,121.724806,0,329,31,osm,3,318,1,改寫
5,16.9,國道五號南向16.9公里,南向,24.925926,121.72434,180,149,31,osm,4,138,1,改寫
5,18.3,國道五號北向18.3公里,北向,24.916479,121.733311,0,313,47,osm,6,319,1,改寫
5,18.3,國道五號南向18.3公里,南向,24.916126,121.732855,180,134,46,osm,6,139,1,改寫
5,19.7,國道五號北向19.7公里,北向,24.908276,121.743818,0,310,50,osm,5,319,1,改寫
5,19.7,國道五號南向19.7公里,南向,24.907924,121.743366,180,130,50,osm,6,139,1,改寫
5,21.1,國道五號北向21.1公里,北向,24.89985,121.754179,0,319,41,osm,4,319,1,改寫
5,21.1,國道五號南向21.1公里,南向,24.899525,121.753732,180,139,41,osm,5,139,1,改寫
5,22.5,國道五號北向22.5公里,北向,24.889566,121.762216,0,328,32,osm,1,319,1,改寫
5,22.5,國道五號南向22.5公里,南向,24.88923,121.761764,180,148,32,osm,0,139,1,改寫
5,23.9,國道五號北向23.9公里,北向,24.879106,121.769874,0,321,39,osm,2,319,1,改寫
5,23.9,國道五號南向23.9公里,南向,24.87876,121.769417,180,141,39,osm,5,139,1,改寫
5,25.3,國道五號北向25.3公里,北向,24.869922,121.779332,0,316,44,osm,4,319,1,改寫
5,25.3,國道五號南向25.3公里,南向,24.869598,121.778895,180,136,44,osm,1,139,1,改寫
5,26.7,國道五號北向26.7公里,北向,24.860365,121.788341,0,328,32,osm,2,321,1,改寫
5,26.7,國道五號南向26.7公里,南向,24.860129,121.788058,180,146,34,osm,1,141,1,改寫
5,34.9,國道五號北向34.9公里,北向,24.791564,121.780956,0,17,17,osm,1,328,1,改寫
5,52.7,國道五號南向52.7公里,南向,24.63744,121.805564,180,169,11,osm,3,158,1,改寫
6,12.5,國道六號東向12.5公里,東向,23.985535,120.778725,90,44,46,osm,9,85,1,改寫
6,15.6,國道六號西向15.6公里,西向,23.996188,120.801365,270,265,5,chord,,265,1,維持舊值
6,26,國道六號西向26公里,西向,23.981101,120.890991,270,282,12,osm,0,268,1,改寫
6,36.5,國道六號東向36.5公里,東向,23.982555,120.988139,90,106,16,osm,2,88,1,改寫
8,0,國道八號東向0公里,東向,23.080551,120.195444,90,30,60,osm,7,71,1,改寫
8,0,國道八號西向0公里,西向,23.080551,120.195444,270,208,62,osm,5,251,1,改寫
8,4.2,國道八號東向4.2公里,東向,23.082523,120.231125,90,115,25,osm,5,71,1,改寫
8,4.2,國道八號東向4.2公里,東向,23.089607,120.209621,90,82,8,osm,1,71,1,改寫
10,14.7,國道十號東向14.7公里,東向,22.760332,120.386905,90,74,16,osm,4,53,1,改寫
10,16.8,國道十號西向16.8公里,西向,22.770908,120.406753,270,248,22,osm,2,233,1,改寫
10,21.4,國道十號東向21.4公里,東向,22.795574,120.437507,90,64,26,osm,9,54,1,改寫
10,21.4,國道十號東向21.4公里,東向,22.795727,120.43798,90,68,22,osm,11,54,1,改寫
10,28.3,國道十號西向28.3公里,西向,22.825377,120.488103,270,197,73,osm,2,234,1,改寫
